eid,subject
2-s2.0-85090061408,neuroscience
2-s2.0-85097012595,environmental science
2-s2.0-85117934568,medicine
2-s2.0-85099298902,agricultural & biological sciences
2-s2.0-85099298902,immunology and microbiology
2-s2.0-85141992725,unknown
2-s2.0-85142638600,multidisciplinary
2-s2.0-85147507622,mathematics
2-s2.0-85141893174,multidisciplinary
2-s2.0-85141498203,"biochemistry, genetics & molecular biology"
2-s2.0-85144804266,earth and planetary sciences
2-s2.0-85144804266,physics and astronomy
2-s2.0-85139297152,medicine
2-s2.0-85137282665,agricultural & biological sciences
2-s2.0-85137282665,arts and humanities
2-s2.0-85137282665,psychology
2-s2.0-85139775647,medicine
2-s2.0-85142013900,medicine
2-s2.0-85132957571,environmental science
2-s2.0-85138458566,medicine
2-s2.0-85138681367,medicine
2-s2.0-85134707757,agricultural & biological sciences
2-s2.0-85134707757,environmental science
2-s2.0-85139145294,agricultural & biological sciences
2-s2.0-85139145294,environmental science
2-s2.0-85135058296,earth and planetary sciences
2-s2.0-85146078501,medicine
2-s2.0-85138747885,agricultural & biological sciences
2-s2.0-85125178155,immunology and microbiology
2-s2.0-85125178155,medicine
2-s2.0-85128759199,medicine
2-s2.0-85122443139,medicine
2-s2.0-85128706474,earth and planetary sciences
2-s2.0-85128706474,physics and astronomy
2-s2.0-85121447791,medicine
2-s2.0-85121447791,psychology
2-s2.0-85121481128,medicine
2-s2.0-85121481128,psychology
2-s2.0-85124634973,medicine
2-s2.0-85101791185,agricultural & biological sciences
2-s2.0-85101791185,environmental science
2-s2.0-85136824548,unknown
2-s2.0-85123610473,medicine
2-s2.0-85139739040,medicine
2-s2.0-85117913817,medicine
2-s2.0-85124916122,medicine
2-s2.0-85124916122,neuroscience
2-s2.0-85180937737,earth and planetary sciences
2-s2.0-85180937737,physics and astronomy
2-s2.0-85181029405,earth and planetary sciences
2-s2.0-85181029405,physics and astronomy
2-s2.0-85181028842,earth and planetary sciences
2-s2.0-85181028842,physics and astronomy
2-s2.0-85180972502,earth and planetary sciences
2-s2.0-85180972502,physics and astronomy
2-s2.0-85179650185,"biochemistry, genetics & molecular biology"
2-s2.0-85179650185,chemistry
2-s2.0-85179650185,multidisciplinary
2-s2.0-85179650185,physics and astronomy
2-s2.0-85176735771,"biochemistry, genetics & molecular biology"
2-s2.0-85176735771,medicine
2-s2.0-85164172757,medicine
2-s2.0-85169786860,unknown
2-s2.0-85174726191,agricultural & biological sciences
2-s2.0-85172237410,agricultural & biological sciences
2-s2.0-85172237410,environmental science
2-s2.0-85168781271,medicine
2-s2.0-85164985983,agricultural & biological sciences
2-s2.0-85164985983,veterinary
2-s2.0-85166954887,medicine
2-s2.0-85138971032,earth and planetary sciences
2-s2.0-85138971032,physics and astronomy
2-s2.0-85164201977,earth and planetary sciences
2-s2.0-85164201977,physics and astronomy
2-s2.0-85163603964,earth and planetary sciences
2-s2.0-85163603964,physics and astronomy
2-s2.0-85163421319,earth and planetary sciences
2-s2.0-85163421319,physics and astronomy
2-s2.0-85164247115,earth and planetary sciences
2-s2.0-85164247115,physics and astronomy
2-s2.0-85163491756,earth and planetary sciences
2-s2.0-85163491756,physics and astronomy
2-s2.0-85163530624,earth and planetary sciences
2-s2.0-85163530624,physics and astronomy
2-s2.0-85163698067,earth and planetary sciences
2-s2.0-85163698067,physics and astronomy
2-s2.0-85164157655,earth and planetary sciences
2-s2.0-85164157655,physics and astronomy
2-s2.0-85163545518,earth and planetary sciences
2-s2.0-85163545518,physics and astronomy
2-s2.0-85151968548,immunology and microbiology
2-s2.0-85151968548,medicine
2-s2.0-85147556624,medicine
2-s2.0-85147556624,psychology
2-s2.0-85151221457,multidisciplinary
2-s2.0-85143214969,medicine
2-s2.0-85146467777,medicine
2-s2.0-85147569207,agricultural & biological sciences
2-s2.0-85147569207,environmental science
2-s2.0-85144682123,"biochemistry, genetics & molecular biology"
2-s2.0-85144682123,medicine
2-s2.0-85166250868,"biochemistry, genetics & molecular biology"
2-s2.0-85166250868,medicine
2-s2.0-85163921497,multidisciplinary
2-s2.0-85141533621,earth and planetary sciences
2-s2.0-85142280958,psychology
2-s2.0-85142280958,social sciences
2-s2.0-85137927503,agricultural & biological sciences
2-s2.0-85170363438,medicine
2-s2.0-85135947331,medicine
2-s2.0-85204208461,medicine
2-s2.0-85193334182,agricultural & biological sciences
2-s2.0-85193334182,environmental science
2-s2.0-85200048928,multidisciplinary
2-s2.0-85201828629,"biochemistry, genetics & molecular biology"
2-s2.0-85201828629,chemistry
2-s2.0-85201828629,multidisciplinary
2-s2.0-85201828629,physics and astronomy
2-s2.0-85205520203,psychology
2-s2.0-85204393641,medicine
2-s2.0-85204393641,neuroscience
2-s2.0-85207663987,medicine
2-s2.0-85207747017,multidisciplinary
2-s2.0-85204180083,medicine
2-s2.0-85201420217,medicine
2-s2.0-85207251019,medicine
2-s2.0-85203816908,medicine
2-s2.0-85203982941,unknown
2-s2.0-85205407807,medicine
2-s2.0-85204602708,medicine
2-s2.0-85200029220,environmental science
2-s2.0-85200029220,social sciences
2-s2.0-85202462521,medicine
2-s2.0-85202151977,unknown
2-s2.0-85200666063,multidisciplinary
2-s2.0-85190504265,medicine
2-s2.0-85191197998,medicine
2-s2.0-85190389100,medicine
2-s2.0-85194947351,earth and planetary sciences
2-s2.0-85194947351,physics and astronomy
2-s2.0-85188450830,unknown
2-s2.0-85189898702,unknown
